Age,Grade,Num
18-22,B,875
18-22,A,829
18-22,C,615
18-22,F,401
18-22,D,341
Older than 50,B,191
Older than 50,A,174
Older than 50,C,142
41-50,B,100
41-50,A,97
Older than 50,F,87
41-50,C,61
Older than 50,D,61
31-40,B,56
31-40,A,55
18-22,DA,44
31-40,C,43
18-22,WD,38
41-50,D,37
41-50,F,37
23-30,B,35
23-30,C,31
23-30,A,30
31-40,D,25
31-40,F,23
18-22,WS,20
23-30,D,19
18-22,PL,15
23-30,F,13
Older than 50,WD,12
Older than 50,DA,7
41-50,DA,5
31-40,WD,4
41-50,WD,4
31-40,DA,3
18-22,FS,2
41-50,PL,2
Older than 50,WS,2
23-30,DA,1
Older than 50,PL,1
23-30,WD,1
41-50,WS,1
